audio_file,speaker,text,sentence_domain,age,gender,accent,variant
common_voice_nan-tw_32135920.wav,nan_tw_spk1,公館（Kong-kuán | Kong-koán）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135921.wav,nan_tw_spk1,三觀五覆 （sam-kuan-ngóo-hok）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135922.wav,nan_tw_spk1,蟮蟲仔（siān-thâng-á）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135923.wav,nan_tw_spk1,反抗期（huán-khòng-kî）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135924.wav,nan_tw_spk1,門掣（mn̂g-tshuah）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135925.wav,nan_tw_spk1,十三股（Tsa̍p-sann-kóo）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135926.wav,nan_tw_spk1,山鼻仔 （Suann-phīnn-á）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135927.wav,nan_tw_spk1,腌屁（am-puì）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135928.wav,nan_tw_spk1,密婆坑（Bi̍t-pô-khinn | Bi̍t-pô-khiⁿ）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135929.wav,nan_tw_spk1,警示燈（kìng-sī-ting）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135930.wav,nan_tw_spk1,雞油龜（kue-iû-ku | ke-iû-ku | kere-iû-ku）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135931.wav,nan_tw_spk1,想欲（siūnn-beh | siūnn-bueh）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135932.wav,nan_tw_spk1,上愛 （siōng ài）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135933.wav,nan_tw_spk1,無要意（bô-iàu-ì）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135934.wav,nan_tw_spk1,玉兔（Gio̍k-thòo）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135935.wav,nan_tw_spk1,鰆魚（tshun-hî）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135936.wav,nan_tw_spk1,全班（tsuân pan）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135937.wav,nan_tw_spk1,鉤股（kau-kóo）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135938.wav,nan_tw_spk1,魑魅魍魎（Lî-muī Bóng-lióng）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135939.wav,nan_tw_spk1,"囡仔仙，扮大仙（gín-á sian, pān tuā-sian）",,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135940.wav,nan_tw_spk1,銅鉎（tâng-sian）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135941.wav,nan_tw_spk1,昏頭（hun-thâu）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135942.wav,nan_tw_spk1,三跤鱉 （sann-kha pih）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135943.wav,nan_tw_spk1,火戛仔（hué-khiat-á）,,thirties,male_masculine,台南腔,
common_voice_nan-tw_32135944.wav,nan_tw_spk1,"筊會跋，屎嘛會食得（kiáu ē pua̍h, sái mā-ē tsia̍h-tit）",,thirties,male_masculine,台南腔,
